die,Adria {f},Adriyatik Denizi,noun,[geogr.],f
die,Adsorption {f},adsorpsiyon,noun,[phys.] [chem.],f
das,Adverb {n},belirteç,noun,[ling.],n
das,Adverb {n},zarf,noun,[ling.],n
die,Aerodynamik {f},aerodinamik,noun,,f
die,Aerodynamik {f},hava dinamiği,noun,,f
die,Aerostatik {f},aerostatik,noun,[phys.] [engin.],f
die,Affenhitze {f} [ugs.],cehennem sıcağı,noun,,f
der,Affe {m},maymun,noun,[zool.] [T],m
das,affines Koordinatensystem {n},afin koordinat sistemi,noun,[math.],n
die,Affinität {f},benzeşme,noun,,f
das,Afghanistan {n},Afganistan,noun,[geogr.],n
die,Afrikanerin {f},Afrikalı [kadın],noun,,f
der,Afrikaner {m},Afrikalı,noun,,m
der,Afrikanischer Goldwolf {m},"Afrika altın kurdu [Canis lupaster, syn.: Canis anthus]",noun,[T] [zool.],m
das,Afrikanisches Hirschferkel {n},Afrika cüce geyiği [Hyemoschus aquaticus],noun,[zool.] [T],n
die,Afrikanische Wildkatze {f},Afrika yaban kedisi [Felis silvestris lybica],noun,[zool.] [T],f
das,Afrika {n},Afrika,noun,[geogr.],n
der,After {m},anüs,noun,[anat.],m
der,After {m},makat,noun,[anat.],m
die,Agenda {f},ajanda,noun,,f
die,Agenda {f},andaç,noun,,f
die,Agentin {f},ajan [kadın],noun,,f
die,Agentin {f},vekil [kadın],noun,[comm.],f
die,Agentur {f},acente,noun,,f
der,Agent {m},ajan,noun,,m
der,Agent {m},vekil,noun,[comm.],m
die,Agglutination {f},aglütinasyon,noun,[med.],f
die,Agnosie {f},agnozi,noun,[med.],f
die,Agrarpolitik {f},tarım politikası,noun,[pol.] [agr.],f
das,Agrarprodukt {n},tarımsal ürün,noun,[econ.],n
das,Agrarprodukt {n},ziraat mahsûlü,noun,[econ.],n
die,Ahle {f},tığ,noun,,f
die,Ahnentafel {f},ahnentafel,noun,,f
"die, pl",Ahnen {pl},atalar,noun,,pl
die,Ahnung {f} [Kenntnis],haber [bilgi],noun,,f
der,Ahn {m},ata,noun,,m
der,Ahorn {m},akçaağaç,noun,[bot.] [T],m
das,Airan {n} [Rsv.] [türkisches Joghurtgetränk],ayran,noun,[gastr.],n
der,Airbag {m},hava yastığı,noun,[automot.],m
der,Aischylos {m},Eshilos,noun,[lit.] [hist.] [theatre],m
der,Ajatollah Khomeini {m},Ayetullah Humeyni,noun,,m
die,Akademie {f},akademi,noun,,f
die,Akazie {f},akasya,noun,[bot.] [T],f
die,Akkordarbeit {f},götürü iş,noun,,f
der,Akkord {m} [Arbeit],götürü [konuş.],noun,,m
der,Akkord {m} [Musik],akort,noun,[mus.],m
die,Akkumulation {f},birikim,noun,[econ.],f
der,Akkusativ {m},-i hali,noun,[ling.],m
der,Akkusativ {m},akuzatif,noun,[ling.],m
der,Akkusativ {m},i hali,noun,[ling.],m
die,Akrobatin {f},cambaz [kadın],noun,[sports],f
der,Akrobat {m},cambaz,noun,[sports],m
die,Akromegalie {f},akromegali,noun,[med.],f
der,Aktenschrank {m},evrak dolabı,noun,,m
die,Aktentasche {f},evrak çantası,noun,,f
die,Aktentasche {f},iş çantası,noun,,f
der,Aktenvernichter {m},kağıt öğütücü,noun,,m
die,Akte {f},dosya,noun,[law] [admin.],f
die,Akte {f},evrak,noun,,f
die,Aktiengesellschaft {f} <AG>,anonim şirket <AŞ>,noun,,f
der,Aktieninhaber {m},hissedar,noun,[fin.],m
der,Aktieninhaber {m},hisse sahibi,noun,[fin.],m
der,Aktieninhaber {m},paydaş,noun,[fin.],m
das,Aktienkapital {n},hisse sermayesi,noun,[fin.] [acc.],n
die,Aktie {f},hisse senedi,noun,[stocks],f
die,Aktion {f},eylem,noun,,f
die,Aktion {f},teşebbüs,noun,,f
der,Aktionär {m},hissedar,noun,[econ.] [fin.],m
der,Aktionär {m},paydaş,noun,[fin.],m
"die, pl",Aktiva {pl},aktifler,noun,[fin.] [acc.],pl
"die, pl",Aktiva {pl},mal varlıkları,noun,[fin.] [acc.],pl
"die, pl",Aktiva {pl},varlıklar,noun,[fin.] [acc.],pl
der,aktiver Vulkan {m},aktif volkan,noun,[geol.],m
der,aktiver Vulkan {m},aktif yanardağ,noun,[geol.],m
der,Aktivist {m},eylemci,noun,,m
die,Aktivität {f},etkinlik,noun,,f
die,Aktivität {f},faaliyet,noun,,f
der,Aktor {m},aktüatör,noun,[tech.],m
die,Aktualisierung {f},güncelleme,noun,[comp.],f
der,Akt {m} [Theater],perde,noun,,m
die,Akustik {f},akustik,noun,[audio],f
der,Akzent {m} [Betonung],vurgu,noun,[ling.],m
das,Akzeptieren {n},kabul,noun,,n
die,Alarmanlage {f},alarm teçhizatı,noun,,f
die,Albanerin {f},Arnavut [kadın],noun,[ethn.],f
der,Albaner {m},Arnavut,noun,[ethn.],m
das,Albanien {n},Arnavutluk,noun,[geogr.],n
das,Albanisch {n},Arnavutça,noun,[ling.],n
der,Albatros {m},albatros,noun,[orn.] [T],m
der,Albinismus {m},albinizm,noun,[biol.],m
der,Albtraum {m},kâbus,noun,,m
die,Alchemie {f},alşimi,noun,,f
die,Alchemie {f},simya,noun,,f
der,Alchemist {m},alşimist,noun,,m
der,Alchemist {m},simyager,noun,,m
die,Alchimie {f} [Rsv.],alşimi,noun,,f
die,Alchimie {f} [Rsv.],simya,noun,,f
der,Alchimist {m} [Rsv.],alşimist,noun,,m
der,Alchimist {m} [Rsv.],simyager,noun,,m
"die, pl",Aleuten {pl},Aleut Adaları {pl},noun,[geogr.],pl
der,Alexander {m} der Große,Büyük İskender,noun,[hist.],m
der,Alexander {m},İskender,noun,[name],m
das,Alexandria {n},İskenderiye,noun,[geogr.],n
